Demographics,Skills,Attitudes / Self-Efficacy,Support and Service Needs,Income and Assistance,Disability,Employment Status and History,Employment Goals,Service Type,Recommendation,Result (Return to Work)
"Male, 25, Single",Customer Service,Needs Flexibility,Remote Work,Unemployment Benefits,Visual Impairment,"Unemployed, 1 year",Software Engineer,Retention Services,Career Counseling,No
"Male, 25, Single",Software Development,Seeking Growth,Childcare Support,Disability Support,Hearing Impairment,"Unemployed, 1 year",Software Engineer,Life Stability,Technical Training,Yes
"Female, 22, Single",Software Development,Highly Motivated,Transportation,Unemployment Benefits,Visual Impairment,"Employed, IT, 5 years",Graphic Designer,Employment Assistance,Technical Training,Yes
"Male, 25, Single",Project Management,Wants Remote Work,Childcare Support,Family Support,Hearing Impairment,"Employed, IT, 5 years",Customer Support,Professional Services,Technical Training,Yes
"Male, 45, Divorced",Software Development,Needs Flexibility,Flexible Hours,None,Hearing Impairment,"Unemployed, 1 year",Graphic Designer,Retention Services,Career Counseling,Yes
"Female, 30, Married",Graphic Design,Seeking Growth,Flexible Hours,None,Hearing Impairment,"Unemployed, 6 months",Customer Support,Retention Services,Technical Training,Yes
"Male, 45, Divorced",Graphic Design,Wants Remote Work,Flexible Hours,Disability Support,Visual Impairment,"Employed, Retail, 2 years",Software Engineer,Professional Services,Career Counseling,Yes
"Male, 25, Single",Project Management,Seeking Growth,Remote Work,Unemployment Benefits,None,"Employed, IT, 5 years",Customer Support,Employment Assistance,Resume Building Workshop,No
"Female, 22, Single",Graphic Design,Wants Remote Work,Childcare Support,Family Support,None,"Unemployed, 1 year",Customer Support,Employment Assistance,Technical Training,No
"Male, 45, Divorced",Graphic Design,Highly Motivated,Childcare Support,Disability Support,Physical Mobility,"Unemployed, 1 year",Customer Support,Professional Services,Technical Training,No
